FedEx Ground Standard List Rates,,,,,,,,,,,,,,,,,
Weight,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,To Hawaii,Intra Oahu,To Alaska,To Canada,To Canada,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
61,19.87,25.08,29.06,37.14,43.91,51.82,61.53,185.52,13.42,185.52,91.49,115.12,94.17,108.54,22.93,94.17,108.54
62,20.29,26.12,29.56,37.84,44.20,52.62,61.91,188.57,13.67,188.57,91.50,115.13,95.04,109.46,23.23,95.04,109.46
63,20.32,26.13,29.57,37.85,44.50,52.71,62.29,191.65,13.82,191.65,91.51,117.25,95.88,110.42,23.54,95.88,110.42
64,20.85,26.89,30.34,38.23,45.23,53.07,63.24,194.85,14.05,194.85,91.52,117.26,96.68,111.31,23.84,96.68,111.31
65,21.08,27.14,30.35,38.24,45.63,53.18,63.35,198.03,14.30,198.03,91.53,119.16,97.49,112.29,24.18,97.49,112.29
66,21.38,27.62,30.36,38.27,45.66,53.34,63.48,201.09,14.58,201.09,91.54,119.17,98.19,113.21,24.47,98.19,113.21
67,21.66,27.64,30.71,38.31,46.02,53.61,63.63,204.14,14.68,204.14,91.55,121.29,98.95,114.13,24.76,98.95,114.13
68,21.83,28.41,32.19,38.85,46.27,53.91,63.64,207.09,14.86,207.09,91.56,121.30,99.63,115.10,25.08,99.63,115.10
69,22.08,28.42,32.20,39.46,46.51,53.92,63.97,210.11,15.09,210.11,92.92,123.73,100.39,116.01,25.38,100.39,116.01
70,22.18,28.47,32.59,39.96,47.44,53.93,64.52,214.53,15.29,214.53,92.93,123.74,101.16,116.93,25.69,101.16,116.93
71,22.30,28.77,33.11,40.35,48.19,55.31,64.53,217.81,15.79,217.81,95.13,125.74,101.86,117.87,25.95,101.86,117.87
72,22.82,28.82,33.88,40.98,48.54,57.14,64.98,221.06,16.68,221.06,95.14,125.76,102.64,118.80,27.10,102.64,118.80
73,23.18,28.83,33.89,40.99,48.60,57.15,65.10,224.30,17.18,224.30,96.61,128.12,103.36,119.75,27.98,103.36,119.75
74,24.24,28.85,34.13,41.24,49.82,57.78,65.24,226.45,18.23,226.45,96.62,128.13,104.20,120.66,28.86,104.20,120.66
75,25.37,29.66,34.23,42.32,50.29,58.37,65.26,229.02,18.90,229.02,97.97,131.08,105.15,121.64,29.49,105.15,121.64
76,26.34,30.75,34.35,42.61,50.92,59.32,65.27,231.84,19.76,231.84,97.98,131.10,106.11,122.56,30.35,106.11,122.56
77,27.61,31.76,35.71,43.16,51.22,60.45,65.28,233.76,20.58,233.76,98.21,131.85,107.03,123.54,31.22,107.03,123.54
78,27.92,32.37,36.12,43.63,51.53,61.46,65.29,235.01,21.42,235.01,98.22,131.86,108.10,124.42,32.41,108.10,124.42
79,29.18,33.40,36.67,44.31,52.61,62.41,66.36,235.05,22.27,235.05,99.45,134.99,109.18,125.39,32.98,109.18,125.39
80,29.98,34.35,37.54,45.36,53.49,62.69,66.86,237.51,23.33,237.51,99.46,135.00,110.21,126.30,33.87,110.21,126.30
81,30.96,35.27,38.77,45.68,54.19,63.65,67.70,239.49,23.95,239.49,99.93,137.49,111.25,127.26,34.71,111.25,127.26
82,31.70,35.75,39.67,46.53,54.32,65.29,67.71,240.69,25.28,240.69,99.94,137.50,112.21,128.17,35.94,112.21,128.17
83,32.29,36.47,40.53,46.86,55.00,65.30,67.72,243.33,25.65,243.33,100.82,139.94,113.15,129.15,36.84,113.15,129.15
84,33.25,37.35,40.96,47.30,55.83,66.09,68.25,246.13,26.49,246.13,100.84,139.95,114.12,130.07,37.38,114.12,130.07
85,34.15,37.92,41.74,48.06,56.69,66.80,68.99,248.98,27.34,248.98,101.18,143.07,115.07,131.02,38.62,115.07,131.02
86,35.43,39.53,43.00,48.96,57.37,68.05,70.44,251.61,28.42,251.61,101.19,143.08,116.12,131.89,39.12,116.12,131.89
87,36.12,39.67,43.13,48.97,58.12,68.10,70.54,254.44,29.02,254.44,102.37,145.44,117.16,132.89,39.97,117.16,132.89
88,37.98,40.95,44.78,50.55,58.88,68.81,72.00,257.25,29.85,257.25,102.38,145.45,118.21,133.76,40.89,118.21,133.76
89,39.30,41.70,45.63,50.71,59.61,69.52,73.50,259.93,30.71,259.93,103.07,147.76,119.17,134.72,41.75,119.17,134.72
90,40.20,42.37,45.86,51.23,59.89,69.81,73.55,262.56,31.53,262.56,103.08,147.77,120.13,135.66,42.66,120.13,135.66
91,40.46,43.10,46.32,51.24,60.51,69.82,73.64,265.38,32.72,265.38,103.73,150.54,121.08,136.61,43.50,121.08,136.61
92,42.24,43.91,47.00,52.01,61.30,70.11,74.43,267.90,33.24,267.90,103.75,150.55,122.01,137.54,44.39,122.01,137.54
93,42.43,44.76,48.35,52.72,61.78,70.37,75.19,270.51,34.10,270.51,104.44,152.91,122.99,138.47,45.25,122.99,138.47
94,43.42,45.13,48.57,53.41,62.50,70.51,75.97,273.07,34.93,273.07,104.45,152.93,123.93,139.42,46.60,123.93,139.42
95,44.43,46.34,49.32,54.12,62.92,70.75,76.78,275.71,35.79,275.71,105.27,155.48,124.98,140.31,47.03,124.98,140.31
96,45.42,46.66,51.13,55.26,63.28,71.25,78.27,278.24,36.61,278.24,105.28,155.49,126.02,141.25,48.37,126.02,141.25
97,46.47,48.02,51.14,55.60,64.04,71.26,78.32,280.89,37.46,280.89,105.93,158.20,127.10,142.20,48.79,127.10,142.20
98,47.53,48.33,51.89,56.26,64.76,71.78,79.10,283.38,38.29,283.38,105.94,158.21,128.15,143.17,50.54,128.15,143.17
99,48.57,49.10,53.39,56.96,65.51,72.50,79.88,286.04,39.52,286.04,106.46,160.46,129.08,144.11,50.55,129.08,144.11
100,49.48,49.90,53.86,57.82,66.23,73.23,80.67,288.70,40.39,288.70,106.48,160.47,130.05,145.02,51.89,130.05,145.02
101,49.51,49.91,53.87,57.83,66.25,73.24,80.68,288.71,40.84,288.71,106.49,160.48,131.02,145.98,52.79,131.02,145.98
102,49.92,50.53,54.47,58.31,66.40,73.25,80.73,288.72,41.68,288.72,106.50,160.49,131.94,146.88,53.29,131.94,146.88
103,51.28,51.31,55.14,58.90,67.66,74.53,81.43,291.01,42.53,291.01,106.51,160.50,133.00,147.86,54.06,133.00,147.86
104,51.59,52.06,55.80,59.52,67.87,74.75,82.20,293.76,43.79,293.76,106.52,160.51,134.06,148.77,54.93,134.06,148.77
105,52.44,52.83,56.44,60.75,68.92,75.18,82.91,296.38,44.23,296.38,106.53,160.52,135.10,149.72,55.79,135.10,149.72
106,53.30,53.62,57.08,60.76,68.93,75.86,83.67,299.13,45.06,299.13,109.61,166.21,136.07,150.64,56.68,136.07,150.64
107,54.08,54.43,58.30,61.96,69.55,76.52,85.16,301.89,45.88,301.89,109.62,166.22,137.00,151.55,58.09,137.00,151.55
108,54.86,55.21,58.40,61.99,70.19,77.19,85.17,304.64,46.75,304.64,109.63,166.23,137.96,152.48,58.43,137.96,152.48
109,55.65,55.96,59.03,62.60,70.81,77.85,85.93,307.25,47.60,307.25,109.64,166.24,138.86,153.42,59.34,138.86,153.42
110,56.33,56.79,59.71,63.20,71.50,78.55,86.67,309.85,48.46,309.85,109.65,166.25,139.98,154.38,60.20,139.98,154.38
111,56.96,57.42,61.55,64.43,72.10,79.19,88.45,313.36,49.27,313.36,112.93,172.75,141.02,155.29,61.64,141.02,155.29
112,58.12,58.61,61.62,64.44,72.71,79.88,88.55,316.91,50.12,316.91,112.94,172.76,142.06,156.30,62.55,142.06,156.30
113,58.18,58.66,62.30,65.03,73.37,80.54,90.16,319.65,50.95,319.65,112.95,172.78,142.99,157.40,62.82,142.99,157.40
114,58.79,59.88,62.99,66.30,74.60,81.89,90.75,322.44,51.78,322.44,112.96,172.79,143.98,158.42,64.31,143.98,158.42
115,59.43,60.56,63.07,66.47,74.61,81.90,90.76,325.18,53.13,325.18,112.97,172.80,144.92,159.43,64.58,144.92,159.43
